Nombre,Equipo,Liga,Fecha Fichaje,Contrato Hasta,Fecha Nacimiento,Lugar Nacimiento,Nacionalidad,Altura,Posición,Selección,Partidos Internacionales,Goles,Valor Mercado,Última Revisión,Pie,Agente,Proveedor
Kylian Mbappé,Real Madrid,LaLiga,01/07/2024,30/06/2029,20/12/1998 (25),Paris,Francia,"1,78 m",Delantero centro,Francia,86,48,"180,00 mill. €",03/06/2024,derecho,Miembro de su familia,Nike
Jude Bellingham,Real Madrid,LaLiga,01/07/2023,30/06/2029,29/06/2003 (21),Stourbridge,Inglaterra,"1,86 m",Mediocentro ofensivo,Inglaterra,36,5,"180,00 mill. €",07/06/2024,derecho,Agente no encontrado,adidas
Vinicius Junior,Real Madrid,LaLiga,Fecha de fichaje no encontrada,Contrato no encontrado,12/07/2000 (24),Lugar de nacimiento no encontrado,Brasil,"1,76 m",Extremo izquierdo,Brasil,Partidos y goles no encontrados,Partidos y goles no encontrados,"180,00 mill. €",07/06/2024,derecho,Roc Nation Sports,Nike
Federico Valverde,Real Madrid,LaLiga,01/07/2018,30/06/2029,22/07/1998 (26),Montevideo,Uruguay,"1,82 m",Mediocentro,Uruguay,63,7,"120,00 mill. €",07/06/2024,derecho,Wasserman,Nike
Lamine Yamal,FC Barcelona,LaLiga,01/07/2023,30/06/2026,13/07/2007 (17),Esplugues de ...,España,"1,80 m",Extremo derecho,España,16,3,"120,00 mill. €",18/07/2024,izquierdo,Agente es conocido / jugador menor de 18 años,adidas
Rodrygo,Real Madrid,LaLiga,01/07/2019,30/06/2028,09/01/2001 (23),Osasco,Brasil,"1,74 m",Extremo derecho,Brasil,29,7,"110,00 mill. €",07/06/2024,derecho,Un1que Football,Nike
Aurélien Tchouaméni,Real Madrid,LaLiga,01/07/2022,30/06/2028,27/01/2000 (24),Rouen,Francia,"1,88 m",Pivote,Francia,36,3,"100,00 mill. €",07/06/2024,derecho,ESN,Nike
Eduardo Camavinga,Real Madrid,LaLiga,31/08/2021,30/06/2029,10/11/2002 (21),Cabinda,Francia,"1,82 m",Mediocentro,Francia,21,1,"100,00 mill. €",07/06/2024,izquierdo,CAA Stellar,Nike
Gavi,FC Barcelona,LaLiga,01/07/2021,30/06/2026,05/08/2004 (20),Los Palacios y ...,España,"1,73 m",Mediocentro,España,27,5,"90,00 mill. €",07/06/2024,derecho,De la Peña & ...,Nike
Julián Alvarez,Atlético Madrid,LaLiga,12/08/2024,30/06/2030,31/01/2000 (24),Calchín,Argentina,"1,70 m",Delantero centro,Argentina,38,10,"90,00 mill. €",27/05/2024,derecho,Fernando Hidalgo,adidas
